"","cluster_group","Religion_Chosen","total_times_religion_chosen_in_cluster"
"1",1,"Christianity",574
"2",1,"Judaism",191
"3",1,"Unitarian Universalism",182
"4",1,"Buddhism",764
"5",1,"Shinto",4
"6",1,"Islam",13
"7",1,"Sikhism",3
"8",1,"Jainism",1
"9",1,"Hinduism",48
"10",1,"Taoism",132
"11",1,"Baha'i",6
"12",1,"Zoroastrianism",1
"13",1,"Paganism",73
"14",1,"Earth centered religion or spirituality",518
"15",1,"Atheism",164
"16",1,"Agnosticism",285
"17",2,"Christianity",656
"18",2,"Judaism",147
"19",2,"Unitarian Universalism",176
"20",2,"Buddhism",652
"21",2,"Shinto",5
"22",2,"Islam",9
"23",2,"Sikhism",9
"24",2,"Hinduism",47
"25",2,"Taoism",84
"26",2,"Baha'i",12
"27",2,"Zoroastrianism",1
"28",2,"Paganism",65
"29",2,"Earth centered religion or spirituality",431
"30",2,"Atheism",87
"31",2,"Agnosticism",204
"32",3,"Christianity",444
"33",3,"Judaism",148
"34",3,"Unitarian Universalism",182
"35",3,"Buddhism",591
"36",3,"Shinto",1
"37",3,"Islam",13
"38",3,"Sikhism",3
"39",3,"Jainism",2
"40",3,"Hinduism",28
"41",3,"Taoism",71
"42",3,"Baha'i",7
"43",3,"Paganism",35
"44",3,"Earth centered religion or spirituality",356
"45",3,"Atheism",108
"46",3,"Agnosticism",195
"47",4,"Christianity",726
"48",4,"Judaism",154
"49",4,"Unitarian Universalism",91
"50",4,"Buddhism",251
"51",4,"Shinto",1
"52",4,"Islam",16
"53",4,"Jainism",2
"54",4,"Hinduism",14
"55",4,"Taoism",3
"56",4,"Baha'i",11
"57",4,"Paganism",2
"58",4,"Earth centered religion or spirituality",179
"59",4,"Atheism",132
"60",4,"Agnosticism",166
"61",5,"Christianity",561
"62",5,"Judaism",128
"63",5,"Unitarian Universalism",137
"64",5,"Buddhism",651
"65",5,"Shinto",6
"66",5,"Islam",17
"67",5,"Sikhism",1
"68",5,"Jainism",3
"69",5,"Hinduism",42
"70",5,"Taoism",95
"71",5,"Baha'i",5
"72",5,"Zoroastrianism",3
"73",5,"Paganism",56
"74",5,"Earth centered religion or spirituality",470
"75",5,"Atheism",40
"76",5,"Agnosticism",140
"77",6,"Christianity",1128
"78",6,"Judaism",51
"79",6,"Unitarian Universalism",51
"80",6,"Buddhism",126
"81",6,"Islam",9
"82",6,"Sikhism",2
"83",6,"Hinduism",5
"84",6,"Taoism",6
"85",6,"Baha'i",1
"86",6,"Zoroastrianism",1
"87",6,"Paganism",2
"88",6,"Earth centered religion or spirituality",132
"89",6,"Atheism",32
"90",6,"Agnosticism",126
"91",NA,"Christianity",13
"92",NA,"Judaism",6
"93",NA,"Unitarian Universalism",5
"94",NA,"Buddhism",24
"95",NA,"Sikhism",1
"96",NA,"Hinduism",1
"97",NA,"Taoism",5
"98",NA,"Paganism",7
"99",NA,"Earth centered religion or spirituality",37
"100",NA,"Atheism",9
"101",NA,"Agnosticism",10
