,attentive,while_doing_other,while_taking_notes,with_other_people,What's your preferred way of listening to On Being?
X1,NA,NA,NA,NA,NA
X2,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X3,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X4,NA,NA,NA,NA,NA
X5,NA,NA,I take notes while I listen to the show,I take notes while I listen to the show,I take notes while I listen to the show
X6,NA,NA,NA,NA,NA
X7,"I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions"
X8,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X9,NA,NA,NA,NA,NA
X10,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X11,NA,NA,NA,NA,NA
X12,NA,NA,NA,NA,NA
X13,NA,NA,NA,NA,NA
X14,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X15,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X16,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X17,NA,NA,NA,NA,NA
X18,NA,NA,NA,NA,NA
X19,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X20,"I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions"
X21,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X22,"I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions"
X23,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X24,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X25,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X26,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X27,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X28,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X29,NA,NA,NA,NA,NA
X30,"I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions"
X31,"I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions"
X32,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X33,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X34,NA,NA,I take notes while I listen to the show,I take notes while I listen to the show,I take notes while I listen to the show
X35,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X36,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X37,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X38,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
