,Cluster,How_express_values-Grace,How_express_values-Volunteer,How_express_values-community_service,How_express_values-Community_organizing,How_express_values-Mediation_social_healing,Heavy_Magnetist,Heavy_Guardian,Heavy_Adventure,Gender
1,1,0,1,0.604379562,0.169343066,0,0.964963504,1,0.642335766,0.164963504
2,2,1,0.825301205,0.972891566,1,0.621987952,0.954819277,0.759036145,0.737951807,0.165662651
3,3,1,0,0.342039801,0.044776119,0.394278607,0.98880597,1,1,0.129353234
4,4,0,0.340229885,0.632183908,0.195402299,1,0.896551724,0.252873563,0.76091954,0.163218391
5,5,0,1,0.704049844,0.23364486,1,0.987538941,1,0.68847352,0.14953271
6,6,0,0.43697479,0.410714286,0.097689076,0,0.829831933,0,0.641806723,0.207983193
7,7,0,0,0.278401998,0.082397004,0.238451935,0.975031211,1,1,0.171036205
8,8,0.427325581,0,0.328488372,0.046511628,0.319767442,0.968023256,1,0,0.194767442
9,9,1,1,0.746941896,0,0.418960245,0.97324159,0.814984709,0.664373089,0.126146789
10,10,1,0.262867647,0.191176471,0.034926471,0.325367647,0.873161765,0,0.630514706,0.141544118
