,attentive,while_doing_other,while_taking_notes,with_other_people,other,What's your preferred way of listening to On Being?
2,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
3,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
4,NA,NA,NA,NA,NA,NA
5,NA,NA,I take notes while I listen to the show,NA,NA,I take notes while I listen to the show
6,NA,NA,NA,NA,NA,NA
7,"I attentively listen to the show, without distractions",NA,NA,NA,NA,"I attentively listen to the show, without distractions"
8,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
9,NA,NA,NA,NA,NA,NA
10,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
11,NA,NA,NA,NA,NA,NA
12,NA,NA,NA,NA,NA,NA
13,NA,NA,NA,NA,NA,NA
14,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
15,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
16,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
17,NA,NA,NA,NA,NA,NA
18,NA,NA,NA,NA,NA,NA
19,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
20,"I attentively listen to the show, without distractions",NA,NA,NA,NA,"I attentively listen to the show, without distractions"
21,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
22,"I attentively listen to the show, without distractions",NA,NA,NA,NA,"I attentively listen to the show, without distractions"
23,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
24,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
25,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
26,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
27,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
28,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
29,NA,NA,NA,NA,NA,NA
30,"I attentively listen to the show, without distractions",NA,NA,NA,NA,"I attentively listen to the show, without distractions"
31,"I attentively listen to the show, without distractions",NA,NA,NA,NA,"I attentively listen to the show, without distractions"
32,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
33,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
34,NA,NA,I take notes while I listen to the show,NA,NA,I take notes while I listen to the show
35,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
36,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
37,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
38,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
39,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
40,NA,NA,NA,NA,NA,NA
41,"I attentively listen to the show, without distractions",NA,NA,NA,NA,"I attentively listen to the show, without distractions"
42,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
43,NA,NA,NA,NA,NA,NA
44,"I attentively listen to the show, without distractions",NA,NA,NA,NA,"I attentively listen to the show, without distractions"
45,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
46,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
47,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
48,"I attentively listen to the show, without distractions",NA,NA,NA,NA,"I attentively listen to the show, without distractions"
49,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
50,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
51,"I attentively listen to the show, without distractions",NA,NA,NA,NA,"I attentively listen to the show, without distractions"
52,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
53,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
54,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
55,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
56,NA,NA,NA,NA,I sometimes read the transcript while on lunch without distractions,I sometimes read the transcript while on lunch without distractions
